id,date_of_journey,mobile_number,adult_count,child_count,proceed_status,created_at,updated_at,fktrain_number,fksource_code,fkdestination_code,fkboarding_at,fkcoach_type,fkreservation_type,pnr,pnr_status,fkpassengerdata,fkpassengerdata_rac,seat_sequence_number,seat_status,current_seat_status,updated_seat_status,createdat,updatedat,coach,berth,fk_seatsondate_sl,seat_number,seat_status_copy,fkbookingdata,p_name,p_age,p_gender,preferred_berth,is_child,is_senior,is_adult,base_fare,cancellation_status,refund_amount
8443,2025-11-04,9243081050,5,0,true,Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),2521,2120,2128,2120,6,1,PNR001502,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,2853,Gayathri,18,F,,false,false,true,65,false,
8444,2025-11-04,9243081050,5,0,true,Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),2521,2120,2128,2120,6,1,PNR001502,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,2853,Sameer,61,M,,false,true,false,32.5,false,
8445,2025-11-04,9243081050,5,0,true,Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),2521,2120,2128,2120,6,1,PNR001502,CNF,,,,CNF,FC4/4/UB,FC4/4/UB,,,,,,,,2853,Ashwin,38,M,,false,false,true,65,false,
8446,2025-11-04,9243081050,5,0,true,Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),2521,2120,2128,2120,6,1,PNR001502,CNF,,,,CNF,FC4/3/LB,FC4/3/LB,,,,,,,,2853,Saranya,29,F,,false,false,true,65,false,
8447,2025-11-04,9243081050,5,0,true,Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:17:33 GMT+0530 (India Standard Time),2521,2120,2128,2120,6,1,PNR001502,CNF,,,,CNF,FC4/2/UB,FC4/2/UB,,,,,,,,2853,Keshav,15,M,,false,false,true,65,false,
9590,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,3249,Pavan,20,M,,false,false,true,180,false,
9591,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,3249,Charitha,24,F,,false,false,true,180,false,
9592,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,3249,Mamatha,78,F,,false,true,false,90,false,
9593,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,3249,Gayathri,43,F,,false,false,true,180,false,
9594,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,3249,Niraj,68,M,,false,true,false,90,false,
9595,2025-11-04,7361607538,5,1,true,Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:19:28 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001521,CNF,,,,CNF,FC2/19/LB,FC2/19/LB,,,,,,,,3249,Ramakrishnan,3,M,,true,false,true,180,false,
12811,2025-11-04,8589511967,4,1,true,Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),3463,8495,5575,8495,6,1,PNR001526,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,4347,Mamatha,28,F,,false,false,true,230,false,
12812,2025-11-04,8589511967,4,1,true,Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),3463,8495,5575,8495,6,1,PNR001526,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,4347,Kalyani,1,F,,true,false,true,230,false,
12813,2025-11-04,8589511967,4,1,true,Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),3463,8495,5575,8495,6,1,PNR001526,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,4347,Venu,49,M,,false,false,true,230,false,
12814,2025-11-04,8589511967,4,1,true,Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),3463,8495,5575,8495,6,1,PNR001526,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,4347,Rahul,38,M,,false,false,true,230,false,
12815,2025-11-04,8589511967,4,1,true,Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:24:42 GMT+0530 (India Standard Time),3463,8495,5575,8495,6,1,PNR001526,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,4347,Poonam,58,F,,false,true,false,115,false,
13857,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,4689,Tejas,38,M,,false,false,true,95,false,
13858,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,4689,Jitendra,5,M,,true,false,true,95,false,
13859,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,4689,Hemalatha,67,F,,false,true,false,47.5,false,
13860,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,4689,Ankita,36,F,,false,false,true,95,false,
13861,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,4689,Leela,42,F,,false,false,true,95,false,
13862,2025-11-04,7808775994,5,1,true,Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:26:19 GMT+0530 (India Standard Time),3468,8495,6175,8495,6,1,PNR001537,CNF,,,,CNF,FC2/19/LB,FC2/19/LB,,,,,,,,4689,Basant,18,M,,false,false,true,95,false,
17082,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,5769,Isha,59,F,,false,true,false,32.5,false,
17083,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,5769,Tushar,58,M,,false,false,true,65,false,
17084,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/4/UB,FC4/4/UB,,,,,,,,5769,Rekha,79,F,,false,true,false,32.5,false,
17085,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/3/LB,FC4/3/LB,,,,,,,,5769,Pooja,12,F,,false,false,true,65,false,
17086,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/2/UB,FC4/2/UB,,,,,,,,5769,Divyashree,65,F,,false,true,false,32.5,false,
17087,2025-11-04,6263357470,6,0,true,Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:31:27 GMT+0530 (India Standard Time),2529,2120,2128,2120,6,1,PNR001512,CNF,,,,CNF,FC4/1/LB,FC4/1/LB,,,,,,,,5769,Basant,36,M,,false,false,true,65,false,
18420,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,6210,Navya,72,F,,false,true,false,235,false,
18421,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,6210,Charitha,72,F,,false,true,false,235,false,
18422,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/4/UB,FC4/4/UB,,,,,,,,6210,Jyothi,19,F,,false,false,true,470,false,
18423,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/3/LB,FC4/3/LB,,,,,,,,6210,Arpita,75,F,,false,true,false,235,false,
18424,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/2/UB,FC4/2/UB,,,,,,,,6210,Subhash,16,M,,false,false,true,470,false,
18425,2025-11-04,8108605002,6,0,true,Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:35 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001499,CNF,,,,CNF,FC4/1/LB,FC4/1/LB,,,,,,,,6210,Ameena,15,F,,false,false,true,470,false,
18486,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,6228,Manisha,77,F,,false,true,false,32.5,false,
18487,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,6228,Lalitha,21,F,,false,false,true,65,false,
18488,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,6228,Divyashree,73,F,,false,true,false,32.5,false,
18489,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,6228,Supriya,40,F,,false,false,true,65,false,
18490,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,6228,Ranjitha,68,F,,false,true,false,32.5,false,
18491,2025-11-04,7657287055,6,0,true,Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:33:41 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001518,CNF,,,,CNF,FC2/19/LB,FC2/19/LB,,,,,,,,6228,Meera,61,F,,false,true,false,32.5,false,
18999,2025-11-04,7863436518,2,1,true,Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),2525,3898,2120,3898,6,1,PNR001516,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,6399,Lalitha,79,F,,false,true,false,77.5,false,
19000,2025-11-04,7863436518,2,1,true,Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),2525,3898,2120,3898,6,1,PNR001516,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,6399,Uday,52,M,,false,false,true,155,false,
19001,2025-11-04,7863436518,2,1,true,Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:30 GMT+0530 (India Standard Time),2525,3898,2120,3898,6,1,PNR001516,CNF,,,,CNF,FC4/4/UB,FC4/4/UB,,,,,,,,6399,Nikhil,3,M,,true,false,true,155,false,
19102,2025-11-04,9713731155,4,0,true,Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001508,CNF,,,,CNF,FC3/20/UB,FC3/20/UB,,,,,,,,6435,Jyothi,20,F,,false,false,true,470,false,
19103,2025-11-04,9713731155,4,0,true,Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001508,CNF,,,,CNF,FC3/19/LB,FC3/19/LB,,,,,,,,6435,Rajeshwari,21,F,,false,false,true,470,false,
19104,2025-11-04,9713731155,4,0,true,Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001508,CNF,,,,CNF,FC3/18/UB,FC3/18/UB,,,,,,,,6435,Vikram,31,M,,false,false,true,470,false,
19105,2025-11-04,9713731155,4,0,true,Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:34:40 GMT+0530 (India Standard Time),2195,4095,7635,4095,6,1,PNR001508,CNF,,,,CNF,FC3/17/LB,FC3/17/LB,,,,,,,,6435,Pavithra,59,F,,false,true,false,235,false,
23345,2025-11-04,9948648037,3,0,true,Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),2533,2120,2128,2120,6,1,PNR001530,CNF,,,,CNF,FC3/4/UB,FC3/4/UB,,,,,,,,7875,Yash,73,M,,false,true,false,32.5,false,
23346,2025-11-04,9948648037,3,0,true,Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),2533,2120,2128,2120,6,1,PNR001530,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,7875,Pallavi,23,F,,false,false,true,65,false,
23347,2025-11-04,9948648037,3,0,true,Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:41:39 GMT+0530 (India Standard Time),2533,2120,2128,2120,6,1,PNR001530,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,7875,Sandhya,41,F,,false,false,true,65,false,
28195,2025-11-04,9260515963,1,0,true,Fri Oct 31 2025 21:49:32 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:49:32 GMT+0530 (India Standard Time),2523,7465,7464,7465,6,1,PNR001519,CNF,,,,CNF,FC2/18/UB,FC2/18/UB,,,,,,,,9513,Diya,31,F,,false,false,true,180,false,
29725,2025-11-04,6466711810,4,0,true,Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),3464,6175,8495,6175,6,1,PNR001503,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,10035,Nitin,6,M,,false,false,true,95,false,
29726,2025-11-04,6466711810,4,0,true,Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),3464,6175,8495,6175,6,1,PNR001503,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,10035,Aarav,54,M,,false,false,true,95,false,
29727,2025-11-04,6466711810,4,0,true,Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),3464,6175,8495,6175,6,1,PNR001503,CNF,,,,CNF,FC2/19/LB,FC2/19/LB,,,,,,,,10035,Ankit,42,M,,false,false,true,95,false,
29728,2025-11-04,6466711810,4,0,true,Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),Fri Oct 31 2025 21:52:01 GMT+0530 (India Standard Time),3464,6175,8495,6175,6,1,PNR001503,CNF,,,,CNF,FC2/18/UB,FC2/18/UB,,,,,,,,10035,Tushar,73,M,,false,true,false,47.5,false,
34929,2025-11-04,6297506830,2,0,true,Fri Oct 31 2025 22:00:11 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:00:11 GMT+0530 (India Standard Time),2528,2120,3898,2120,6,1,PNR001504,CNF,,,,CNF,FC4/6/UB,FC4/6/UB,,,,,,,,11745,Mahima,48,F,,false,false,true,145,false,
34930,2025-11-04,6297506830,2,0,true,Fri Oct 31 2025 22:00:11 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:00:11 GMT+0530 (India Standard Time),2528,2120,3898,2120,6,1,PNR001504,CNF,,,,CNF,FC4/5/LB,FC4/5/LB,,,,,,,,11745,Priya,74,F,,false,true,false,72.5,false,
36079,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/20/UB,FC3/20/UB,,,,,,,,12150,Vijay,40,M,,false,false,true,70,false,
36080,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/19/LB,FC3/19/LB,,,,,,,,12150,Sandhya,71,F,,false,true,false,35,false,
36081,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/18/UB,FC3/18/UB,,,,,,,,12150,Gaurav,15,M,,false,false,true,70,false,
36082,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/17/LB,FC3/17/LB,,,,,,,,12150,Priya,29,F,,false,false,true,70,false,
36083,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/16/UB,FC3/16/UB,,,,,,,,12150,Kapil,45,M,,false,false,true,70,false,
36084,2025-11-04,7167474721,6,0,true,Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:02:09 GMT+0530 (India Standard Time),2526,2120,2128,2120,6,1,PNR001513,CNF,,,,CNF,FC3/15/LB,FC3/15/LB,,,,,,,,12150,Ramesh,72,M,,false,true,false,35,false,
40127,2025-11-04,7962386938,2,0,true,Fri Oct 31 2025 22:08:48 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:08:48 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001537,CNF,,,,CNF,FC2/18/UB,FC2/18/UB,,,,,,,,13545,Chandana,41,F,,false,false,true,65,false,
40128,2025-11-04,7962386938,2,0,true,Fri Oct 31 2025 22:08:48 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:08:48 GMT+0530 (India Standard Time),2538,2120,2128,2120,6,1,PNR001537,CNF,,,,CNF,FC2/17/LB,FC2/17/LB,,,,,,,,13545,Kiranmayi,39,F,,false,false,true,65,false,
44458,2025-11-04,6743151868,4,0,true,Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),2516,2120,5895,2120,6,1,PNR001519,CNF,,,,CNF,FC3/3/LB,FC3/3/LB,,,,,,,,15003,Preethi,51,F,,false,true,false,220,false,
44459,2025-11-04,6743151868,4,0,true,Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),2516,2120,5895,2120,6,1,PNR001519,CNF,,,,CNF,FC3/2/UB,FC3/2/UB,,,,,,,,15003,Jitendra,68,M,,false,true,false,220,false,
44460,2025-11-04,6743151868,4,0,true,Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),2516,2120,5895,2120,6,1,PNR001519,CNF,,,,CNF,FC3/1/LB,FC3/1/LB,,,,,,,,15003,Lalitha,63,F,,false,true,false,220,false,
44461,2025-11-04,6743151868,4,0,true,Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),Fri Oct 31 2025 22:15:44 GMT+0530 (India Standard Time),2516,2120,5895,2120,6,1,PNR001519,CNF,,,,CNF,FC2/20/UB,FC2/20/UB,,,,,,,,15003,Anirudh,8,M,,false,false,true,440,false,
